505,263,32,36
504,263,31,35
503,263,31,35
501,262,32,36
500,264,32,36
500,262,32,36
500,263,33,37
499,262,33,37
497,261,33,37
495,262,34,36
495,263,33,36
494,263,33,35
493,263,33,36
491,263,31,35
490,263,31,35
490,264,31,34
489,264,30,35
488,264,31,35
487,263,31,35
486,263,31,35
485,265,31,34
485,263,31,35
484,263,31,35
481,264,32,35
480,264,33,34
479,264,32,35
478,264,32,34
478,263,31,34
476,263,30,34
475,263,30,34
474,264,30,35
474,264,30,34
474,264,30,34
473,263,30,34
471,260,30,34
470,262,29,33
470,263,30,34
469,264,30,34
467,264,30,34
466,263,30,34
464,264,30,34
463,265,30,34
463,265,30,34
461,265,31,35
459,264,31,35
459,264,31,35
458,264,31,35
456,264,31,35
455,263,31,35
454,264,32,35
453,264,33,36
452,263,32,37
450,264,33,36
449,265,35,35
447,265,35,35
447,264,33,36
446,264,33,34
445,264,33,34
444,265,32,35
444,263,32,36
442,264,33,36
440,264,32,37
440,265,33,36
441,262,32,37
439,262,33,37
439,263,33,37
437,263,33,37
435,264,33,34
433,265,33,34
432,265,31,35
431,266,32,34
430,265,31,35
429,265,30,35
428,266,31,35
426,267,32,33
425,266,32,34
425,266,31,34
424,266,31,35
423,267,32,33
421,266,32,35
420,266,32,34
419,265,32,34
418,267,31,33
417,266,31,34
416,266,30,34
415,265,31,34
413,265,31,35
413,264,31,35
412,263,31,35
410,264,31,35
409,264,31,35
408,265,31,35
407,265,32,35
406,266,31,35
406,265,31,35
404,266,32,35
403,266,31,35
402,265,32,35
400,266,33,35
399,265,32,36
399,266,32,36
399,265,31,35
398,266,31,35
396,265,32,35
395,266,31,35
395,267,31,34
394,265,31,35
393,265,30,34
392,266,30,34
390,266,30,34
388,265,30,34
387,266,30,34
386,265,30,34
385,266,30,34
385,266,30,34
384,266,30,33
383,267,30,33
383,267,30,34
382,267,30,34
381,265,30,34
380,265,30,34
377,265,31,35
377,265,31,35
377,266,31,35
375,266,31,35
374,266,31,35
373,267,31,35
371,266,31,35
369,266,31,34
368,265,31,34
367,266,30,34
367,267,30,34
366,267,30,34
366,266,30,34
365,266,30,34
364,266,30,34
364,266,30,34
361,266,30,34
362,267,30,34
359,266,30,33
358,265,30,34
357,266,31,34
355,267,32,32
354,266,32,33
354,265,31,33
352,266,31,33
352,266,31,33
350,267,32,32
349,265,32,34
349,266,32,34
348,266,32,34
347,265,31,34
347,266,31,34
346,267,31,33
344,266,31,34
344,265,29,33
343,266,30,34
342,265,30,33
341,265,31,33
340,265,31,33
338,266,32,33
338,264,31,35
338,265,31,34
336,265,31,35
335,265,32,34
334,266,32,33
334,265,31,34
333,266,31,33
332,266,30,33
331,266,30,33
331,266,29,33
330,265,29,33
329,266,28,32
329,267,28,32
328,267,28,32
327,267,28,32
326,267,28,32
326,267,29,32
324,266,29,32
324,266,28,32
323,267,27,31
323,267,28,31
320,267,28,31
319,266,28,31
318,267,28,31
317,266,28,31
317,267,27,31
315,267,28,31
316,268,28,31
314,266,28,32
313,266,28,32
313,266,28,32
312,265,28,32
311,266,28,33
312,267,28,32
310,265,28,33
310,266,29,32
310,266,28,33
308,265,27,33
306,266,29,32
307,264,26,35
306,267,29,33
306,264,23,35
305,263,25,35
304,264,25,34
304,265,29,33
304,264,26,35
303,263,25,35
303,264,25,36
303,264,26,35
302,263,26,36
301,263,26,36
300,263,26,36
299,263,28,36
299,262,27,37
297,263,28,35
292,263,31,35
290,263,30,34
290,263,31,34
289,263,30,33
288,263,31,33
287,262,31,34
287,263,32,33
286,264,31,33
286,264,30,33
285,263,30,34
285,264,30,32
284,263,29,34
283,264,29,33
283,263,28,34
281,263,29,34
280,263,28,35
280,262,28,36
280,263,28,34
279,263,28,35
277,265,31,34
276,264,31,34
274,265,31,34
274,265,30,34
273,265,31,35
272,263,31,34
272,265,30,34
270,264,30,34
270,264,30,34
270,263,30,34
269,265,30,34
268,264,30,34
267,264,30,34
265,265,30,34
265,264,30,34
264,265,30,34
263,265,30,34
262,264,30,34
261,264,30,34
260,262,30,34
258,263,30,34
257,263,30,34
256,263,29,33
256,263,29,33
256,264,28,32
255,263,28,32
254,264,28,32
253,265,28,32
251,265,28,32
251,267,28,31
251,265,27,31
249,264,28,32
248,265,28,32
248,265,28,31
247,263,27,33
247,263,27,33
245,263,28,33
244,263,29,32
243,263,29,32
243,262,28,33
243,263,29,32
242,263,28,32
241,263,27,32
241,262,27,32
240,262,27,33
239,261,27,34
238,262,28,33
237,261,26,34
236,262,27,33
236,261,25,35
235,261,26,35
234,261,25,36
233,261,25,35
233,263,26,34
232,262,26,34
230,262,27,34
229,262,27,34
228,262,28,34
228,262,27,33
228,262,26,33
228,262,26,32
227,261,25,33
227,261,25,32
225,261,24,32
224,262,24,31
221,261,25,30
221,262,26,29
219,263,26,29
219,263,27,30
218,263,27,30
217,262,27,30
215,263,28,31
215,263,28,31
214,263,29,30
213,263,29,31
212,263,29,31
211,263,27,31
210,262,27,32
210,263,27,32
209,262,26,33
208,262,26,33
208,263,26,32
207,263,26,31
206,262,26,33
205,264,27,31
204,263,27,31
203,263,27,31
202,263,27,31
201,263,26,31
200,263,26,31
199,263,28,31
198,263,27,30
197,263,27,29
197,264,27,30
196,263,27,31
195,263,28,31
195,263,28,32
193,263,28,32
191,264,28,32
190,263,29,32
188,263,29,33
187,263,29,32
186,264,29,32
186,264,28,32
185,264,28,32
185,263,28,32
183,264,29,31
