550	341	50	118
555	337	46	117
560	334	46	116
564	332	44	115
570	329	44	112
571	326	44	111
577	324	43	111
580	322	42	109
585	320	42	109
589	316	39	107
592	314	36	106
596	312	33	104
598	310	31	102
601	308	28	102
602	305	27	101
604	304	26	100
605	302	25	99
605	300	25	98
607	298	23	97
608	296	22	96
610	294	20	95
613	293	18	93
614	291	16	81
617	291	13	79
617	293	12	79
620	289	11	73
617	285	12	68
616	281	13	64
618	284	13	61
616	283	15	67
551	295	24	71
539	300	31	79
527	306	36	80
522	320	36	78
517	315	38	87
507	327	43	95
491	333	46	95
480	338	51	94
469	346	49	95
447	322	42	95
432	332	42	87
406	323	42	86
310	324	40	74
303	325	39	84
295	328	40	95
284	332	42	105
276	334	43	108
270	336	42	109
261	338	44	110
256	341	46	110
244	345	49	113
230	349	53	114
221	351	51	116
212	353	50	118
202	357	52	117
193	361	52	114
183	364	54	111
172	369	52	107
159	366	57	109
153	375	52	99
140	376	55	99
126	384	54	93
118	387	51	89
107	390	54	86
91	393	55	83
81	397	55	80
67	403	55	73
54	407	58	68
41	412	59	63
29	419	58	57
16	423	58	54
2	428	58	48
-2	434	50	44
0	439	36	40
0	443	23	38
0	445	17	35
0	437	13	39
5	422	18	38
2	416	18	45
1	410	14	50
0	412	19	48
0	406	17	53
1	398	22	54
0	397	21	59
2	368	27	60
58	309	39	96
57	313	40	94
51	316	41	91
50	315	38	92
47	315	41	96
44	317	39	95
42	319	38	95
40	319	38	94
37	318	41	97
35	320	41	97
29	322	43	97
28	324	41	94
25	322	40	97
24	323	40	97
21	327	38	98
20	328	37	95
16	328	38	97
11	327	39	100
5	329	40	99
3	331	41	99
1	331	36	101
0	330	35	103
-1	332	35	104
-2	337	32	103
0	337	28	102
0	337	21	101
0	345	20	96
0	352	19	91
0	366	19	83
1	338	33	75
1	319	34	81
0	319	40	79
3	256	43	70
1	234	37	70
3	227	35	74
0	213	33	82
0	222	33	79
1	224	33	76
2	226	36	73
4	232	41	70
2	216	35	77
4	220	38	79
3	220	36	78
2	217	31	80
3	225	39	74
3	231	38	74
2	221	36	77
3	220	38	80
5	226	41	76
5	226	41	77
4	228	42	73
4	223	38	76
2	222	34	78
0	212	30	80
1	218	32	76
2	223	37	76
4	232	40	72
2	222	35	74
0	217	32	79
2	223	36	75
1	218	33	80
2	219	38	78
3	224	37	77
3	224	36	73
0	218	32	78
4	229	40	70
5	221	35	76
2	221	38	78
3	222	40	77
2	213	39	81
3	217	40	82
3	221	40	76
1	222	35	78
1	222	35	75
1	215	35	83
3	212	41	82
1	214	37	82
4	219	39	79
2	223	37	77
2	215	33	81
1	217	37	82
2	212	38	83
2	219	39	80
3	220	34	82
1	215	33	82
1	224	38	74
0	213	33	83
0	219	32	81
2	223	39	78
1	216	34	82
1	219	33	81
2	222	39	76
2	220	32	78
3	231	39	72
0	222	34	75
0	218	33	74
7	236	40	65
1	224	31	74
1	226	31	71
1	220	34	70
3	225	36	71
0	215	31	75
1	220	34	73
2	219	35	73
2	222	34	76
0	217	35	78
3	221	39	75
1	219	33	78
4	218	38	77
3	221	36	76
0	211	30	77
1	221	33	73
1	219	32	75
