17	380	31	64
18	376	27	66
18	377	31	65
25	377	27	64
29	375	27	63
32	374	30	68
34	373	31	68
39	372	31	70
43	370	35	72
49	369	33	76
51	369	34	77
21	374	22	70
15	376	22	64
13	376	22	64
12	376	22	64
12	376	23	65
13	377	23	65
13	377	24	65
14	376	22	64
13	376	23	64
11	376	22	64
10	376	24	64
11	376	24	64
11	377	23	64
11	376	23	64
11	377	23	64
11	376	24	65
11	378	23	64
12	377	23	66
12	377	23	66
12	377	23	66
12	377	23	65
12	378	22	64
12	377	22	65
13	378	23	65
12	378	23	63
12	379	23	64
12	378	23	64
13	379	24	64
14	378	24	64
14	379	23	64
14	379	22	64
13	379	22	63
14	379	22	64
14	378	22	64
15	379	23	63
15	379	22	63
15	378	23	64
16	379	23	63
16	378	23	64
17	378	23	63
17	379	24	64
17	378	23	64
17	378	24	65
17	378	23	65
18	379	24	65
18	379	24	65
19	379	23	63
19	379	24	64
19	379	25	63
19	379	24	63
20	379	25	63
20	379	24	63
21	379	25	64
21	379	24	63
20	379	25	63
21	380	25	64
22	379	24	63
22	379	25	64
21	380	25	63
23	380	24	63
23	380	24	63
24	381	24	62
23	380	24	63
24	380	24	62
25	381	24	61
25	380	23	63
24	380	24	63
24	381	24	62
24	380	24	63
25	381	25	62
25	381	24	63
27	381	24	63
28	381	25	64
28	381	25	64
29	380	25	64
29	382	25	63
30	381	25	64
29	382	25	63
30	381	24	63
3	387	22	59
1	388	20	58
0	389	22	57
0	389	22	57
31	381	23	63
31	381	25	63
31	381	25	64
31	380	25	64
31	381	26	64
31	381	25	64
31	381	25	64
31	381	25	64
31	382	25	63
33	381	25	63
33	381	25	65
33	381	25	64
33	381	25	64
33	381	25	64
34	381	24	64
33	381	25	65
33	381	25	64
34	381	25	65
34	381	25	65
34	381	25	65
35	381	25	65
35	382	25	65
35	380	24	66
35	380	25	65
33	381	25	65
35	380	24	65
35	381	26	65
36	380	25	64
35	381	25	64
35	381	25	64
36	380	25	64
36	380	25	64
35	380	25	64
36	380	25	65
35	379	24	65
35	380	25	65
35	380	24	65
35	379	24	66
34	380	24	65
34	379	24	66
33	380	24	65
34	380	24	66
34	379	25	65
34	380	25	65
34	379	25	65
34	379	26	66
34	379	25	65
33	380	25	65
33	379	25	64
33	380	26	64
30	380	25	64
3	385	22	60
0	386	22	59
0	385	22	59
0	385	22	58
0	385	22	58
0	386	21	58
28	380	25	64
30	380	24	64
30	380	24	63
30	380	24	63
29	380	25	64
29	380	24	63
28	380	25	63
2	384	23	61
1	385	21	61
0	384	23	59
0	385	21	58
0	385	21	58
0	384	20	58
0	384	21	58
0	383	20	58
0	384	19	58
0	385	19	58
0	383	20	58
0	383	19	59
0	384	19	59
0	385	20	59
0	384	21	59
0	384	20	59
0	384	19	60
-1	384	20	60
-1	384	21	60
-1	384	22	61
-1	384	23	62
24	380	25	64
24	381	25	63
24	380	25	63
24	381	24	62
23	381	24	63
23	381	24	62
22	381	23	63
21	382	23	63
20	381	23	64
21	381	24	63
20	381	23	63
19	380	23	63
20	381	24	63
19	380	24	62
19	381	24	62
19	380	24	62
19	380	24	63
19	381	24	62
18	380	24	63
18	381	23	62
17	380	23	63
16	381	23	62
15	380	23	64
16	380	24	62
15	380	24	62
15	380	23	61
16	380	23	61
16	379	23	62
14	380	23	61
14	379	23	62
14	380	24	61
14	380	23	61
13	379	22	61
13	380	23	62
12	380	23	62
12	380	23	62
10	380	23	62
10	381	24	62
8	380	24	63
8	380	23	61
9	380	24	62
9	380	24	62
8	380	24	62
9	381	23	60
9	379	22	60
9	379	22	61
8	380	23	60
9	379	22	61
